Geopolitical entity (reporting),2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05
Ireland,-0.8,-0.6,-0.6,-1.1,-1.2,-1.5,-1.0,-1.0,-0.1,-0.4,0.1,1.1,1.9,1.6,2.2,3.0,3.8,5.1,5.4,5.7,5.0,5.7,6.9,7.3,8.3,9.6,9.6,9.0,8.6,9.4,9.0,8.2,7.5,8.1,7.0,6.3,5.4,4.8,4.6,4.9,5.0,3.6,2.5,3.2,2.7,2.3,1.7,1.6,2.0,1.5,1.5,1.1,0.0,0.1,0.5,1.0,1.7,1.4,1.8,2.0,1.4
Italy,-0.3,-0.4,0.8,-0.5,-1.0,-0.6,-0.3,-0.3,0.7,1.0,0.6,1.0,1.2,1.3,1.0,2.5,2.9,3.2,3.9,4.2,5.1,6.2,6.8,6.3,7.3,8.5,8.4,9.1,9.4,12.6,12.6,12.3,10.7,9.8,8.1,8.6,8.0,6.7,6.3,5.5,5.6,1.8,0.6,0.5,0.9,0.8,1.2,0.9,0.8,0.9,1.6,1.2,0.7,1.0,1.5,1.4,1.7,1.7,2.1,2.0,1.9
Latvia,-0.9,-1.1,0.1,-0.5,-0.4,-0.7,-0.7,-0.5,-0.5,-0.2,0.3,1.7,2.6,2.7,2.8,3.6,4.7,6.0,7.4,7.9,7.5,8.8,11.5,13.1,16.8,19.2,21.3,21.4,22.0,21.7,21.7,20.7,21.4,20.1,17.2,15.0,12.3,8.1,6.6,5.6,3.6,2.3,1.1,0.9,1.1,0.6,1.0,1.1,0.0,1.5,0.8,0.9,1.6,2.1,2.3,3.4,3.1,3.7,3.5,4.0,3.7
Lithuania,0.2,0.9,0.9,1.2,0.6,0.5,0.4,-0.1,0.2,0.4,1.6,2.4,3.5,3.5,4.3,5.0,6.4,8.2,9.3,10.7,12.3,14.0,15.6,16.6,18.5,20.5,20.9,21.1,22.5,22.1,21.4,20.0,18.5,17.2,15.2,13.3,10.7,8.2,7.2,6.4,4.1,3.1,2.3,1.6,1.1,1.1,0.4,0.4,0.9,1.0,1.1,0.8,0.4,0.1,1.1,1.9,3.4,3.2,3.7,3.6,3.0
Luxembourg,-1.6,-0.4,0.1,-0.2,-0.3,-0.4,-0.7,-0.3,1.1,-0.5,2.5,3.3,4.0,3.4,3.3,3.5,4.0,5.3,6.3,5.4,4.6,7.8,7.9,9.0,9.1,10.3,9.3,8.6,8.8,8.8,7.3,6.2,5.8,4.8,2.9,2.7,2.0,1.0,2.0,3.5,3.4,2.1,2.1,3.2,3.0,3.2,3.2,3.0,3.2,2.8,2.7,1.7,0.8,0.9,1.1,1.6,2.4,1.9,1.5,1.7,2.1
Malta,0.9,1.0,0.7,0.7,0.5,0.6,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.7,1.4,2.4,2.6,4.1,4.2,4.5,5.4,5.8,6.1,6.8,7.0,7.4,7.4,7.2,7.3,6.8,7.0,7.1,6.4,6.3,6.2,5.6,5.0,4.9,4.2,3.9,3.7,3.7,3.0,2.7,2.4,2.3,2.2,2.3,2.4,2.1,2.4,2.1,1.8,1.8,2.0,2.1,2.6,2.6
Netherlands,1.1,1.7,1.6,0.3,1.0,1.2,0.7,0.9,1.6,1.9,1.9,1.7,2.0,1.7,1.4,2.7,3.0,3.7,5.9,6.4,7.6,7.3,11.7,11.2,10.2,9.9,11.6,13.7,17.1,16.8,11.3,11.0,8.4,8.9,4.5,5.8,6.8,6.4,5.3,3.4,-0.3,-1.0,1.4,1.0,3.1,2.7,3.1,2.6,2.7,3.4,3.5,3.3,3.3,3.3,3.8,3.9,3.0,3.5,3.4,4.1,3.0
Portugal,-0.6,0.2,-0.1,-0.2,-0.8,-0.6,-0.4,-0.3,0.2,0.3,0.1,-0.1,0.5,-0.6,1.1,1.3,1.3,1.8,2.6,2.8,3.4,4.4,5.5,7.4,8.1,9.0,9.4,9.3,9.8,10.6,10.2,9.8,8.6,8.6,8.0,6.9,5.4,4.7,4.3,5.3,4.8,3.2,2.2,1.9,2.5,2.3,2.6,2.3,3.8,3.1,2.7,1.8,2.6,2.6,2.7,3.1,2.7,2.5,1.9,2.1,1.7
Slovakia,2.1,1.8,1.8,1.4,1.4,1.6,1.6,1.6,0.7,0.9,1.5,1.7,2.0,2.5,2.9,3.3,4.0,4.4,4.8,5.1,7.7,8.3,9.6,10.9,11.8,12.6,12.8,13.4,13.6,14.5,15.1,15.0,15.1,15.4,14.8,14.0,12.3,11.3,10.3,9.6,9.0,7.8,6.9,6.6,4.4,3.8,2.7,2.4,2.6,2.4,3.0,3.2,2.9,3.5,3.6,3.2,4.2,4.1,4.2,3.9,4.3
Slovenia,-1.4,-0.8,-0.3,-0.7,-0.7,-0.5,-1.1,-1.2,-0.9,-1.1,0.1,2.2,2.2,1.7,2.0,2.1,2.7,3.5,4.9,5.1,6.0,7.0,6.0,7.4,8.7,10.8,11.7,11.5,10.6,10.3,10.8,10.8,9.9,9.4,10.4,9.2,8.1,6.6,5.7,6.1,7.1,6.6,4.5,3.8,3.4,3.4,3.4,3.0,2.5,1.6,1.4,1.1,0.7,0.0,1.6,2.0,2.3,1.9,2.2,2.3,1.9
Spain,-0.9,-0.3,-0.7,-0.6,-0.6,-0.9,-0.8,-0.6,0.4,-0.1,1.2,2.0,2.4,2.5,2.9,3.3,4.0,5.4,5.5,6.6,6.2,7.6,9.8,8.3,8.5,10.0,10.7,10.5,9.0,7.3,6.7,5.5,5.9,6.0,3.1,3.8,2.9,1.6,2.1,2.4,3.3,3.5,3.3,3.3,3.5,2.9,3.3,3.4,3.8,3.6,2.9,2.4,1.7,1.8,2.4,2.8,2.9,2.9,2.2,2.2,1.9
