Geopolitical entity (reporting),2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
Austria,11.1,12.1,13.5,14.7,20.6,23.8,22.3,21.3,26.9,38.4,37.6,36.3,42.7,47.0,40.2,56.7,52.6,45.1,29.8,38.4,28.3,11.6,12.6,11.0,4.6,-1.3,5.9,-4.4,-5.7,-5.3,3.0,-4.3,-3.8,-0.9,-1.7,-1.8,-2.4,-1.7,-7.0,-10.5,-12.3,-10.4,-7.8,5.2,6.0,5.0,3.7,4.1,6.0,7.0,8.6,10.1,12.0,13.4,11.7,-4.8,-3.9,6.3,10.6,9.6,5.4
Belgium,18.8,22.1,24.5,27.3,40.6,55.6,46.8,67.0,65.8,64.8,62.9,65.4,64.6,55.1,55.3,67.2,69.2,37.9,33.0,0.9,-14.7,-19.2,-27.1,-32.6,-36.0,-33.2,-28.9,-33.9,-42.6,-36.5,-28.7,-22.3,-0.2,4.5,17.1,20.4,25.6,23.8,11.2,11.0,11.9,14.8,13.7,22.8,12.1,8.6,4.3,2.9,2.2,2.1,3.4,2.1,1.3,1.0,-4.4,-8.9,-6.8,2.1,18.2,17.1,13.3
Bulgaria,12.2,13.6,15.0,16.0,20.9,24.0,24.1,24.7,23.0,27.8,30.0,34.1,37.5,34.1,32.0,32.1,22.1,15.2,12.7,13.5,11.6,3.8,-0.7,-5.7,-9.6,-9.4,-6.9,-5.7,-2.4,0.3,0.8,-2.8,-0.9,0.3,1.7,2.6,3.0,2.0,-2.1,-5.6,-5.7,-5.4,-3.2,1.8,1.7,0.9,-1.8,-2.7,-1.4,0.2,0.2,1.6,1.7,2.6,1.8,-2.2,-2.6,4.0,14.7,17.8,14.9
Croatia,10.1,10.0,10.1,12.2,14.4,15.6,12.4,11.9,12.3,15.9,23.1,25.4,25.8,24.2,19.3,18.5,19.0,20.3,14.7,12.6,11.0,4.3,-2.3,-7.0,-7.2,-5.7,1.4,2.8,-0.7,-4.1,-0.5,-0.1,1.1,2.1,2.1,3.0,0.7,0.7,-3.6,-6.8,-4.4,0.2,2.4,5.1,4.2,2.2,1.4,1.4,2.9,2.6,2.8,4.7,3.9,5.0,3.6,3.1,3.9,10.8,17.5,16.9,12.9
Cyprus,20.1,23.5,26.0,25.5,27.1,31.3,28.0,25.1,26.2,28.3,33.6,37.6,43.6,49.0,40.6,34.4,25.6,21.4,19.3,16.2,13.5,10.3,-1.7,-6.3,-15.4,-14.1,-7.6,0.4,4.3,-3.1,-4.2,-2.9,-2.3,-3.9,6.4,7.2,9.0,1.0,-2.1,-8.0,-10.7,-4.4,0.1,2.4,3.4,2.4,-9.3,-11.4,-9.6,-9.7,-9.1,-6.0,-4.1,-4.7,-5.4,-6.8,-8.8,-3.9,8.8,13.1,13.6
Czechia,3.2,2.8,3.0,3.8,9.0,2.7,1.7,21.4,25.1,33.3,34.7,37.0,40.0,40.4,36.9,41.3,14.2,27.7,25.7,41.8,36.9,25.6,23.4,20.2,17.4,16.1,20.6,14.8,35.4,28.8,31.2,2.6,3.8,4.7,5.1,5.0,3.4,3.4,1.0,0.4,1.8,2.1,2.3,-2.4,-3.5,-4.9,-6.3,-6.3,-5.0,-4.6,-4.4,-3.3,-3.4,-3.8,-4.2,-8.0,-7.9,-1.8,1.4,1.7,
Denmark,9.4,12.0,13.0,14.4,22.5,28.0,23.5,36.6,30.6,34.1,45.8,44.4,46.8,43.4,40.8,56.9,53.2,36.6,30.1,16.3,14.0,7.0,-4.1,-19.1,-22.3,-17.4,-15.4,-24.0,-27.5,-21.6,-17.3,-11.6,-7.7,-6.2,-7.2,9.1,10.0,3.4,3.7,-1.6,3.0,5.4,5.8,2.0,3.4,-0.5,-1.7,-1.6,-2.3,-1.2,-4.2,-1.4,-2.1,-2.5,-3.9,-15.0,-13.7,-6.6,-3.2,-0.4,
EU27,12.2,14.0,14.9,16.8,22.6,25.9,24.6,27.0,28.7,40.2,35.6,37.7,41.1,38.3,37.5,39.4,38.7,33.3,25.4,20.6,16.6,2.5,4.4,-0.3,-4.1,-4.4,-2.0,-3.6,-8.9,-8.9,-5.0,-5.5,-3.3,-1.6,-0.5,0.5,0.2,1.7,-2.1,-4.7,-3.3,-1.2,0.7,2.4,1.0,-0.4,-2.8,-2.7,-1.8,-1.7,-1.2,0.4,0.0,0.3,-1.1,-2.9,-2.2,5.4,10.3,10.7,
Estonia,15.8,21.5,18.1,29.9,26.6,33.6,57.9,41.4,36.7,53.7,76.9,86.4,89.0,89.1,100.1,79.6,60.9,53.9,23.5,33.3,31.1,17.2,10.3,3.2,-4.1,-10.0,-13.8,-10.6,2.4,-1.4,2.0,4.3,1.7,2.9,-5.8,-5.1,-4.0,-0.8,-3.1,-7.0,-5.9,-4.8,-3.0,-4.5,5.5,-1.1,-3.3,-4.6,-7.0,-7.0,-2.9,-2.7,-2.7,0.4,-4.9,0.5,-3.2,3.2,7.5,10.5,9.9
Euro area,12.6,14.4,15.5,17.6,23.7,27.5,25.9,28.8,32.0,44.3,37.5,39.1,42.0,39.6,38.6,40.7,41.5,34.9,25.5,18.9,13.7,-0.9,2.3,-1.8,-5.6,-6.1,-3.3,-4.6,-11.2,-11.5,-6.7,-6.1,-3.7,-1.8,-0.6,0.3,0.2,1.2,-3.0,-6.1,-4.6,-2.0,0.1,1.9,0.2,-1.0,-3.6,-3.6,-2.6,-2.4,-2.0,-0.4,-0.9,-0.5,-1.9,-4.0,-3.1,5.1,10.8,10.8,8.7
