Geopolitical entity (reporting),2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
Austria,0.7,0.9,1.2,1.3,1.2,1.7,2.0,4.2,3.9,5.0,7.1,7.7,9.6,10.2,10.9,11.5,11.9,12.7,13.5,14.1,14.1,12.9,12.1,11.0,10.1,9.7,9.1,8.2,6.9,7.1,6.1,5.8,4.1,3.5,3.3,3.1,2.1,1.6,1.8,2.3,2.9,2.2,1.7,2.2,2.3,3.2,2.8,3.2,4.2,4.6,4.8,3.6,3.8,3.4,3.7,2.6,2.9,2.3,2.5,2.1,1.3
Belgium,0.4,0.6,0.8,1.0,1.3,2.0,2.7,3.7,4.2,4.6,5.0,6.3,8.1,9.1,9.4,10.2,11.7,13.3,13.5,16.3,16.9,17.6,15.2,14.5,12.9,12.5,11.6,11.0,9.1,8.2,7.6,5.9,4.7,3.7,3.9,3.9,4.0,4.2,5.3,5.5,6.5,6.0,5.8,6.4,6.1,5.6,5.1,4.7,5.0,4.3,3.5,3.2,2.7,2.8,2.6,0.7,1.0,0.0,1.8,1.5,0.9
Bulgaria,0.8,1.6,2.7,3.3,4.5,5.6,6.9,8.5,10.6,13.4,16.4,18.0,19.1,19.5,19.8,20.7,21.8,22.2,21.7,21.1,20.5,18.6,14.9,13.5,12.7,12.4,11.5,10.1,7.7,6.0,6.0,5.4,3.9,2.9,2.8,2.2,2.3,2.5,3.2,3.1,3.6,4.7,3.4,5.0,5.1,5.7,5.9,6.4,7.2,7.4,6.8,6.4,6.6,5.7,6.3,4.7,4.5,4.4,5.5,4.7,3.1
Croatia,1.2,2.5,2.9,3.3,3.9,5.3,7.3,8.4,9.1,8.6,10.2,11.8,13.3,14.5,15.6,15.3,16.0,15.9,16.0,14.9,14.6,14.7,13.5,13.4,13.4,11.9,10.3,10.0,8.6,7.7,6.5,6.2,5.5,5.0,4.9,3.7,2.6,2.5,2.9,3.9,5.1,5.1,5.3,5.7,5.6,5.2,4.6,5.6,5.7,7.0,6.6,5.9,4.4,4.5,3.4,3.2,3.9,4.0,3.7,2.5,1.8
Cyprus,-0.1,2.1,4.7,0.9,1.1,-0.9,0.9,3.7,6.8,7.7,9.5,8.3,6.4,7.0,4.3,7.3,9.9,11.7,9.8,8.1,7.5,6.1,5.8,7.6,8.9,8.7,8.8,8.5,5.3,2.8,3.6,3.2,2.2,1.8,1.3,1.3,2.3,2.8,3.0,3.0,4.1,3.6,6.0,4.3,2.1,2.0,2.2,1.7,-0.1,-1.6,-2.0,-1.8,-1.7,-1.2,-1.4,2.7,2.4,5.3,4.3,2.8,3.6
Czechia,1.5,2.5,3.2,3.5,3.4,4.0,4.9,5.7,6.9,7.6,8.8,12.3,14.4,15.3,15.6,16.3,19.0,19.9,19.7,19.6,19.2,18.6,14.4,12.4,10.7,9.1,8.0,6.5,4.5,2.9,1.4,-1.0,-2.1,-2.9,0.4,-0.7,-1.4,-0.7,0.3,2.0,1.7,2.1,2.7,4.9,4.8,6.0,3.5,5.0,5.6,4.9,4.0,2.9,3.8,2.8,2.5,2.3,1.4,0.2,0.8,-0.1,
Denmark,2.8,2.7,1.6,2.3,2.0,1.5,1.2,3.0,4.6,5.4,6.9,9.3,11.7,12.9,13.8,13.4,13.9,13.4,13.1,13.1,13.5,14.0,10.6,8.9,7.5,6.0,4.7,4.5,3.4,3.1,2.2,2.2,-0.1,-0.3,1.3,0.8,0.6,0.8,1.7,2.5,3.4,3.4,4.0,3.8,4.7,4.3,2.6,4.1,4.3,5.3,4.7,4.4,3.9,3.2,3.3,3.3,2.3,1.7,3.0,0.2,
EU27,0.9,1.8,2.2,2.5,2.5,2.9,3.9,4.3,5.0,5.9,7.4,8.6,9.9,11.0,12.0,13.1,14.7,15.2,15.3,15.5,16.6,16.9,14.8,13.7,12.7,11.6,10.2,9.1,7.6,6.9,6.0,5.4,3.7,2.3,2.6,2.3,2.3,2.3,2.6,2.8,3.2,3.1,3.0,2.9,3.3,3.7,3.5,3.8,3.7,3.9,3.9,3.6,3.1,3.0,3.1,3.1,2.9,2.7,2.7,2.0,
Estonia,0.6,1.0,2.0,2.5,2.8,4.8,5.1,7.7,10.2,11.3,12.2,14.5,16.4,17.1,18.5,20.8,23.3,23.7,25.0,23.5,21.6,21.4,20.3,17.6,17.0,14.5,11.7,8.9,6.4,5.4,4.0,5.3,4.2,2.7,2.5,3.3,1.8,2.6,3.6,5.0,5.9,5.7,5.7,4.3,4.5,5.8,6.5,6.3,7.3,8.3,8.7,7.3,6.4,6.4,5.5,6.2,6.2,5.1,3.9,2.5,0.7
Euro area,0.6,1.6,2.0,2.0,2.0,2.2,3.3,3.5,4.2,5.0,6.3,7.5,8.9,9.8,10.6,11.8,13.1,13.6,13.8,14.1,15.0,15.5,13.5,12.5,11.6,10.8,9.7,8.8,7.5,6.9,6.1,5.6,3.9,2.6,2.8,2.6,2.4,2.3,2.3,2.4,2.9,2.7,2.6,2.3,2.7,2.9,3.0,3.2,3.0,3.2,3.2,3.0,2.5,2.4,2.5,2.6,2.5,2.4,2.4,1.9,1.6
Finland,1.1,1.2,1.5,1.6,2.0,2.3,2.4,3.0,3.9,4.5,5.2,7.4,8.7,9.9,10.1,11.7,12.6,12.9,12.9,12.5,13.2,13.3,11.4,9.5,8.2,7.4,6.3,4.7,4.3,3.5,3.0,2.6,1.0,-0.1,1.0,0.7,0.8,0.9,1.0,1.6,1.5,2.1,1.8,1.8,2.3,3.1,2.8,3.1,2.7,3.4,3.2,2.7,1.9,1.8,2.1,2.1,1.9,1.3,2.1,1.8,1.6
France,0.5,1.4,1.7,1.5,1.2,0.4,1.2,1.3,1.8,2.6,3.4,3.8,5.1,6.0,6.9,8.8,10.6,10.7,10.7,11.8,13.2,15.0,14.3,13.7,13.2,12.3,11.0,9.7,8.0,7.9,7.5,6.8,5.1,2.7,2.1,2.1,1.7,1.4,1.4,1.3,1.5,1.1,1.0,0.7,0.8,1.0,1.5,1.6,1.7,1.9,1.9,2.0,1.6,1.6,1.9,1.9,2.1,1.9,1.5,1.3,1.1
Germany,1.3,3.8,4.0,4.1,3.9,4.1,5.3,4.4,4.6,5.3,6.7,8.7,9.9,11.5,12.9,14.4,15.5,16.3,16.4,16.7,18.0,18.7,15.5,13.6,12.6,10.7,9.3,8.2,7.1,6.6,5.8,5.1,3.0,1.5,2.3,2.1,2.3,2.4,2.5,2.5,3.3,3.0,3.2,1.9,2.9,3.3,3.1,3.4,2.7,2.8,3.1,2.9,2.1,2.1,1.8,2.9,2.1,2.1,2.2,1.5,1.4
Greece,0.8,1.7,2.7,2.9,2.4,3.0,3.6,4.4,5.9,6.7,8.9,10.1,10.3,10.5,10.8,10.7,12.3,12.5,12.8,12.8,12.2,11.8,9.6,9.7,10.7,10.9,9.3,8.2,8.8,7.6,7.6,7.1,5.8,4.8,4.8,2.4,1.3,1.4,2.0,2.9,1.0,0.5,-0.2,0.1,0.4,2.1,1.7,2.8,2.4,3.3,2.4,1.4,2.4,2.7,3.4,4.1,4.3,3.7,3.8,2.6,2.5
Hungary,5.4,5.0,5.2,6.0,6.6,7.1,7.9,9.2,10.3,11.3,12.5,15.2,18.0,23.2,26.8,29.9,33.5,36.7,37.2,37.3,37.7,37.4,33.7,29.9,26.4,19.9,16.4,13.0,8.9,6.2,4.3,2.8,0.9,-0.5,-0.3,-0.2,0.1,1.6,1.4,2.7,3.5,3.9,4.5,5.3,6.2,6.1,4.6,5.2,5.3,5.1,5.4,4.1,3.2,2.4,1.6,0.2,-0.8,-1.0,0.3,-0.7,
Iceland,2.8,2.0,1.8,2.0,1.5,1.7,2.7,3.5,4.4,5.0,5.1,5.8,6.5,7.2,7.6,7.4,8.2,8.7,8.7,9.9,10.8,10.8,11.3,11.1,11.2,11.4,11.3,11.5,10.9,10.3,9.7,7.9,6.9,6.6,5.4,5.1,4.8,5.3,4.5,4.0,3.9,3.8,4.0,4.1,4.6,4.8,5.2,5.6,5.2,4.4,4.8,5.9,6.0,6.3,5.6,5.7,5.5,5.5,5.0,4.2,
